재료_아이디,재료_이름,제철,보관온도,100g당 열량,잘맞는 음식,안맞는 음식,효능,구입요령,손질법,조리법,보관법,설명
211,모짜렐라치즈,연중,1~5℃,277Kcal,발사믹식초,,다이어트,"비숙성 치즈라 치즈 냄새가 없고, 아이보리색을 띠며 곰팡이가 피지 않는 것이 좋다. 구입 시 유통기한을 꼭 확인한다.",프레시 모차렐라치즈는 요리에 이용시 수분을 잘 제거하여 사용한다.,토마토와 발사믹식초를 곁들여 샐러드로 먹으면 맛이 좋다.,"가급적 바로 사용하고, 남은 것은 쉽게 상할 수 있으니 소량씩 구입하고 밀봉하여 냉동 보관한다.",
213,슬라이스치즈,연중,1~5℃,305Kcal,식빵,,"골다공증, 노화방지, 다이어트",시중에서 구입 시 유통기한을 반드시 확인한다.,먹기 편하게 포장되어있으므로 특별한 손질없이 바로 섭취 가능하다.,"햄버거, 샌드위치, 카나페 등 활용한다. 볶음밥에 함께 넣어 먹으면 고소한 맛이 진해지고 떡볶이에 넣어먹어도 매운맛이 중화되어 좋다.",반드시 랩에 싸서 냉장 보관한다. 치즈는 쉽게 상할 수 있으니 소량씩 구입하고 남은 것은 밀봉하여 냉동 보관한다.,
215,피자치즈,연중,1~5℃,223Kcal,토마토,콩,골다공증,시중에서 구입 시 유통기한을 반드시 확인한다.,특별한 손질 없이 음식에 넣어 조리한다.,"피자, 그라탕, 볶음밥, 토스트 등 다양한 곳에 활용한다.",반드시 랩에 싸서 냉장 보관한다. 치즈는 쉽게 상할 수 있으니 소량씩 구입하고 남은 것은 밀봉하여 냉동 보관한다.,
217,휘핑크림,연중,0~5℃,399Kcal,빵,,,시중에서 구입 시 유통기한을 반드시 확인하고 냉장 보관이 잘 된 것을 구매한다.,특별한 손질없이 바로 섭취 가능하다. 생크림에 유화제나 식물성 안정제등을 넣어서 생크림보다 단단하고 윤기있게 휩을 만들 수 있다.,"생크림과 같이 파스타 소스를 만들때 사용하기도 하고, 휘핑기로 단단하게 만들어 빵과 함께 곁들여 먹기도 한다.",밀봉하여 냉장 보관한다.,
218,우유,연중,1~5℃,61Kcal,호두,초콜릿,"골다공증, 성장발육, 두뇌발달, 불면증",시중에서 구입 시 유통기한을 반드시 확인하고 냉장 보관이 잘 된 것을 구매한다.,"우유는 구입 후 즉시 섭취가능하고, 젖소에서 짜낸 직후에는 소독을 거친 후 섭취해야한다.","간식으로 먹거나 육류, 생선요리의 비린내를 제거하는 데 좋다. 소스나 제과제빵에 활용하기도 한다.",우유는 개봉 후 가급적 빨리 섭취하며 꼭 냉장 보관한다. 우유는 냄새를 흡수하는 성질이 있어서 냄새를 유발하는 식품과는 가급적 같이 보관하지 않는다.,
219,달걀,연중,1~5℃,139Kcal,감자,,"시력 보호, 두뇌 개발, 숙취 해소, 성인병 예방","표면이 거칠하고 무거운 것, 불빛에 비춰서 투명한 것.",흐르는 물에 씻는다.,"날것으로 먹거나 굽기, 찌기, 삶기 등 다양한 조리가 가능하다.",뾰족한 곳이 아래로 가도록 하여 냉장 보관,
221,메추리알,연중,1~5℃,170Kcal,꽈리고추,,"면역력 증진, 원기회복, 성인병 예방, 성장 발육",표면이 거칠하고 크기에 비해 무게가 있는 것.,냄비에 소금을 약간 넣고 삶는다.,삶아서 조림에 사용한다.,냉장보관,
224,고춧가루,연중제철,0~5℃,324Kcal,더덕,,"식욕촉진, 단백질소화, 감기예방, 면역력증진",국산이 제일 좋다. 선홍색을 띠고 부드럽과 맛과 냄새가 강하지 않은 것으로 고른다.,바로 사용가능하다.,"양념장 등 한식에는 두루두루 사용할 수 있으며, 매운 맛이 필요한 곳에 첨가하여 사용한다.",냉장/냉동 보관한다,
225,후춧가루,,18~22℃,347Kcal,육류,,"소화촉진, 식욕부진 개선, 발한 촉진, 향균, 진정",유통기한을 확인한다.,바로 사용가능하다.,향과 특유의 매운맛이 강하여 냄새제거 및 육류 요리에 사용한다.,직사광선을 피하여 건조하고 서늘한 곳에 보관한다.,
226,설탕,연중제철,0~5℃,387Kcal,팥,,에너지원,"덩어리지지 않은 것을 고르며, 유통기한을 확인하여야 한다.",바로 사용가능하다.,단 맛이 필요할 때 첨가한다.,직사광선을 피하여 그늘진 곳에 보관한다.,
227,꿀,3~10월,18~25℃,294Kcal,홍차,,피로회복,색깔은 노르스름하며 분리 되지 않고 겨울에도 얼지 않는 것이 좋다.,바로 사용가능하다.,"설탕대신 단 맛을 내는 데 사용하고, 감기나 피로할 때 차로 마시기도 한다.",밀폐하여 그늘 진 곳에 보관한다.,
228,마요네즈,연중제철,10~15℃,707Kcal,,,,층이 분리되어 있으면 구입하지 않고 유통기한을 확인한다.,사용할 만큼 덜어 바로 사용한다.,"소스나 샐러드, 덮밥 등 다양하게 사용할 수 있다.",직사광선이 닿지 않는 서늘한 곳에서 보관한다. 냉장보관시 온도가 낮으면 층분리가 일어나기 때문에 냉장고 문쪽에 보관하는 것이 좋다.,
231,식초,연중제철,10~15℃,30Kcal,등푸른 생선,,"식욕촉진, 다이어트, 피로회복","유통기한을 확인하고, 통이 찌그러지거나 부풀러 올라왔는지 확인해야 한다. 침전물이 있는지도 확인 해야한다 .",바로 사용가능하다.,신 맛이 필요한 부분에 첨가하여 사용한다.,밀폐하여 그늘 진 곳에 보관한다.,
232,토르티야,연중제철,-20~0℃,287Kcal,,,,유통기한을 확인하고 구매한다.,"포장상품은 후라이팬에 바로 구워 사용하고, 밀가루, 소금, 버터, 우유를 넣어 만들어 사용할 수 있다.",후라이팬에 구워 각 종 속재료를 채워 돌돌 말아 섭취하는 것이 일반적이다.,냉동보관한다.,
233,다진마늘,"3월, 4월, 5월",10~15℃,120Kcal,돼지고기,,"소화촉진, 피로회복, 혈액순환, 항암효과, 면역력",알이 굵고 단단한 것,물에 10분 정도 불려 놓으면 쉽게 껍질을 벗길 수 있다,"생으로 먹기도 하며, 구워 먹기도 한다, 각종 양념에 사용된다","껍질을 제거하기 전 마늘은 망에 넣어 서늘한 곳에 보관하고, 깐마늘은 다져서 조금씩 분리해 냉동실에 보관한다",
234,밀가루,연중제철,10~15℃,370Kcal,표고버섯,,"변비예방, 대장암예방",입자가 곱고 덩어리 진 것이 없으며 백색에서 아이보리색이 좋다.,체에 쳐서 사용하거나 그냥 사용해도 무방하다.,"글루텐 함량에 따라 용도가 달라지지만, 전반적으로 제과제빵, 제면 등에 많이 사용 된다.",밀봉하여 직사광선이 닿지 않는 건냉한 곳에 보관한다.,
237,고추기름,연중제철,18~22℃,,,,"감기예방, 면역력증가, 항균",유통기한을 확인하고 매콤한 향이 나는 것이 좋다.,고춧가루를 식용유에 볶아 만든 기름이다. 바로 사용가능하다.,"육개장, 닭개장, 순두부지개, 해물요리 등 다양하게 사용 가능하다.",직사광선은 피하고 밀봉하여 서늘한 곳에서 보관한다.,
238,라이스페이퍼,연중제철,10~15℃,347Kcal,채소,,,유통기한을 확인하고 구매한다.,사용하기 전에 물에 적셔 사용한다.,라이스페이퍼에 쌈을 싸서 먹거나 춘권처럼 안에 속재료를 넣고 튀겨 사용한다.,직사광선을 피해 실온 보관한다.,
239,라임즙,연중제철,0~5℃,25Kcal,,,"감기예방, 식욕증진",유통기한을 확인하고 구입한다.,바로 사용가능하다.,"비린내를 제거할 때 사용하거나 디저트, 드레싱, 소스 등 상큼한 맛이 필요할 때 사용한다.",밀봉하여 냉장보관한다.,
243,랍스타,5~8월,-20~0℃,126Kcal,버터,,"성장촉진, 콜레스테롤저하","부패한 냄새가 나지 않으며, 만졌을 때 탄력이 있고 무거운 것이 좋다.","머리와 몸통을 잡고 비틀어 머리를 분리 한 다음, 꼬리를 자르고, 꼬리 부분에 손을 넣어 몸통 살을 분리한다. 분리 된 살의 등쪽을 갈라 내장을 제거하면 살만 사용 가능하다.","분리하여 사용하면 단맛이 다 빠져나가기에, 보통 통으로 쪄서 사용한다. 살만 발라내어 요리를 해도 되고, 통으로 조리하여도 좋다. 살 외의 부분은 육수로 사용된다.","토막내지 않고 통으로 밀폐하여 보관하며, 냉동 보관한다.",
244,래디시,6월,10~15℃,,,,"노화방지, 피부미용","알이 단단하고 광이 나며, 색이 선명하고 속살은 하얀 것이 좋다.",흐르는 물에 씻어 사용한다.,"샐러드나 피클, 김치등으로 사용 할 수 있다.",밀봉하여 냉장고나 서늘한 곳에 보관한다.,
246,레드와인,연중제철,10~15℃,85Kcal,육류,,"심장마비예방, 협심증예방, 뇌졸증예방",색이 깨끗하고 맑으며 빛이 나는 것이 좋다. 갈색을 띠거나 혼탁한 것은 변질 된 것이니 구매하지 않는 것이 좋다.,바로 사용 가능하다.,"실온에서 바로 마시거나 스튜냐 조림, 구이 등에 첨가하여 활용할 수 있다.",개봉을 하지 않았다면 영구적으로 보관가능하나 개봉을 하였다면 마개를 끼워 서늘한 곳에 보관하고 최대한 빨리 사용한다.,
247,레드페퍼,,,57Kcal,,,"감기예방, 통증 완화, 항균, 항암효과","단단하며 벌레 먹지 않은 것이 좋으며, 광이 나고 색이 선명한 것이좋다.","고추의 꼭지를 따고 배를 갈라 씨를 빼낸 후 닦고 건조시킨 후 가루를 낸다. 가루는 곱게, 중간, 굵게 낼 수 있다.","고운가루는 고추장으로, 중간 가루는 김치, 굵은 가루는 풋김치 열무김치 등에 쓴다.",공기가 통하면 성분이 날아감으로 밀봉하여 서늘한데 보관한다.,
250,레몬즙,연중제철,0~5℃,22Kcal,,,"감기예방, 피로회복, 변비해소",유통기한을 확인하고 사용한다.,"가공된 것을 구입하거나, 생 레몬을 반으로 갈라 레몬즙짜개로 짜 씨를 빼고 사용한다.","드레싱이나 소스, 디저트, 구이 등 다양하게 사용할 수 있다.",냉장보관한다.,
252,로메인,,0~5℃,29Kcal,돼지고기,,"피부미용, 해독작용, 변비해소, 다이어트, 구취제거, 수면유도, 붓기제거",잎에 광이 나고 잎줄기가 두꺼우며 흐물거리지 않는 것이 좋다.,흐르는 물에 씻어 사용한다.,"주로 쌈채소로 사용하고, 샐러드나 겉절이, 비빔밥, 샌드위치 등에 활용한다.",밀봉하여 냉장고나 서늘한 곳에 보관한다.,
253,로즈마리,연중제철,18~22℃,331Kcal,"육류,삼치",,"발한촉진, 노화방지","신선한 생로즈마리는 잎에서 광택이 나고 잎의 색이 짙으며, 뒷면은 솜털이 나있고 흰색을 띤다. 건로즈마리는 유통기한을 확인한다.",흐르는 물에 세척 한 후 사용한다.,주로 육류요리에 사용되며 향이 강해 냄새가 심한 양고기나 돼지고기에 사용한다.,직사광선은 피하고 통풍이 잘 되는 곳에 냉동 보관 한다.,
259,건새우,연중제철,10~15℃,233Kcal,,,골다공증예방,형태가 완정하고 색이 붉고 투명한 것이 좋다.,바로 사용가능하다.,볶아 먹거나 국물을 우려낼 때 사용한다.,밀봉하여 직사광선이 닿지 않고 건조하고 서늘한 곳에 보관한다.,
262,건고추,연중제철,0~5℃,300Kcal,,,,벌레먹지 않고 광택이 나며 바싹 마른 것이 좋다.,가루를 내어 사용하거나 조리시 잘라 사용하거나 통으로 사용한다.,"수분이 필요 없으며, 매운맛이 필요할 때 첨가하여 사용한다. 볶거나, 조림으로 많이 사용한다.",밀봉하여 서늘하고 건조한 것에 보관하거나 냉장/냉동보관한다.,
263,건오징어,연중제철,-20~0℃,352Kcal,땅콩,,"피로회복, 스트레스완화",냄새가 나지 않고 두께가 적당한 것이 좋다.,찢거나 잘라 사용가능하다.,구워서 소스에 찍어 먹는다.,밀봉하여 냉동보관한다.,
265,건홍합,연중제철,-20~0℃,391Kcal,,,"피로회복, 스테미너, 빈혈예방, 동맥경화예방, 고지혈증예방",살이 통통하고 살이 붉은기가 도는 것이 좋다.,끓는 물에 끓여 사용한다.,"국, 탕 등에 사용하거나 무침, 조림 등에 사용한다.",냉동보관한다.,
266,스테이크소스,연중제철,0~5℃,96Kcal,스테이크요리,,,유통기한을 확인하고 구입한다.,바로 사용한다.,"새로운 소스를 만드는데 첨가하거나, 바로 사용할 수도 있으며, 양념을 만들고, 조림, 볶음 등에 사용할 수 있다.",직사광선을 피해 그늘지고 서늘한 곳에 보관한다.,
267,가쓰오부시,연중제철,10~15℃,323Kcal,된장,,"간보호, 성인병예방, 콜레스테롤저하","갈아져 있는 것을 구매 할 땐, 살이 연하고 연한 갈색을 띠는 것이 좋다.",바로 사용가능하다,주로 끓는 물에 넣어 육수를 내거나 요리가 끝난 후 고명용으로 뿌린다.,밀봉하여 서늘하고 건조한 곳에 보관한다.,
271,건고사리,연중제철,,228Kcal,,,"변비, 시력보호, 면역력","짙은 밤색을 띠고, 대가 통통한 것이 좋다",물에 불려 먹거나 데쳐서 사용한다.,"주로 나물 무침으로 먹거나, 국, 탕, 조림, 볶음 등에 사용한다.",끓는 물에 소금을 넣고 삶아내고 냉동실에 보관한다,
273,건크랜베리,연중제철,10~15℃,308Kcal,,,"여성질환, 방광염치료, 항암효과, 노화방지, 시력개선",유통기한과 곰팡이가 없는지 확인하고 구입한다.,"바로 섭취, 사용가능하다.","빵이나 디저트에 첨가해 새콤달콤한 맛을 내거나 샐러드, 에너지바에도 첨가하여 사용한다.",밀페용기에 담아 직사광선을 피해 냉장보관한다.,
277,고운고춧가루,연중제철,0~5℃,324Kcal,,,"식욕촉진, 단백질소화, 감기예방, 면역력증진",국산이 제일 좋다. 선홍색을 띠고 부드럽과 맛과 냄새가 강하지 않은 것으로 고른다.,바로 사용가능하다.,"양념장 등 한식에는 두루두루 사용할 수 있으며, 매운 맛이 필요한 곳에 첨가하여 사용한다.",냉장/냉동 보관한다,
279,곤약,연중제철,1~5℃,7Kcal,어묵,,"다이어트, 변비예방, 당뇨병예방",유통기한을 확인하고 탱탱한 것을 구입한다.,데치거나 소금으로 씻은 후 사용한다.,무침이나 조림으로 사용한다.,밀봉하여 냉장보관한다.,
282,굵은고춧가루,연중제철,,260Kcal,,,"식욕촉진, 단백질소화, 감기예방, 면역력증진",국산이 제일 좋다. 선홍색을 띠고 부드럽과 맛과 냄새가 강하지 않은 것으로 고른다.,바로 사용가능하다.,"김치를 담글 때 활용하고, 양념장 등 한식에는 두루두루 사용할 수 있으며, 매운 맛이 필요한 곳에 첨가하여 사용한다.",냉장/냉동 보관한다,
283,굵은소금,연중제철,18~22℃,,감자,,식욕증진,알이 고르고 반투명한 것이 좋다. 떫은 것이 좋으며 국산이 가장 좋다.,손질이 필요 없다.,"보통 배추를 절일 때, 장을 담글 때 사용한다.",습기가 차지 않도록 상온에 보관하며 건조하게 보관한다.,
284,마카로니,연중제철,18~22℃,336Kcal,샐러드,,소화촉진,유통기한을 잘 확인하고 구입한다.,소금물에 끓여 삶은 후 사용한다.,파스타로 활용하여 사용하거나 샐러드 등에 첨가하여 먹기도 한다.,밀봉하여 건냉한 곳에 보관한다.,
285,막걸리,연중제철,1~5℃,56Kcal,,,"암예방, 변비해소, 피부미용",용기 상태와 유통기한을 확인하고 구입한다.,바로 섭취가능하다.,바로 음용한다.,냉장보관한다.,
286,만가닥버섯,연중제철,1~5℃,23Kcal,쇠고기,,"동맥경화, 노화 방지, 암 예방, 면역력향상, 다이어트, 포만감","버섯의 갓이 작고 진한 색을 띠며, 대가 희고 굵으면서 짧은 것이 좋다.","조리 시 잘 부서지기 때문에 밑둥을 잘라 씻어서 볶음, 찌개, 국 등에 이용한다.","날 것 그대로 먹어도 좋고 열을 가해도 좋은 음식이다. 주로 전골이나 찜, 무침으로도 많이 사용한다.",신문지에 싸서 냉장 보관하고 습기를 억제해 준다.,
287,만두피,연중제철,-20~0℃,274Kcal,,,,"유통기한을 확인하고 구입하거나, 집에서 반죽을 하여 만들어 낸다.",바로 사용가능하다.,"만두를 빚어 먹을 때 사용하거나,튀김이나 다양하게 사용할 수 있다.",냉동보관한다.,
288,까나리액젓,연중제철,0~5℃,26Kcal,,,,유통기한을 확인하고 구매하거나 까나리에 소금을 뿌려 숙성시켜 만들어 사용한다.,바로 사용한다.,"국이나 찌개, 탕 등 간이나 감칠맛을 더할 때 사용한다.",밀봉하여 냉장보관한다.,
290,맛살,연중제철,1~5℃,113Kcal,샐러드,,,유통기한을 확인하고 구입한다.,"바로 섭취하거나 찢어서, 데쳐서 사용 할 수 있다.","김밥의 재료로 사용하거나,전, 냉채, 볶음,조림,탕 등 다양하게 사용할 수 있다.",개봉 후 빨리 섭취하거나 밀봉하여 냉장보관한다.,
291,깨,8~9월,-20~0℃,575Kcal,"시금치,두유",,"동맥경화, 노화방지, 피부미용, 간기능개선, 항암효과, 변비해소, 빈혈예방","알 크기와 색깔이 고르고, 고소한 냄새가 나는 것이 좋다.",깨끗한 물에 세척하여 껍질을 골라낸 후 사용한다.,볶아 먹거나 가루를 내거나 기름을 짜서 먹는다.,밀봉하여 냉동 보관한다.,
292,맛소금,연중제철,18~22℃,,김,,,포장에 문제가 없는지 확인하고 제조일을 확인한다.,바로 사용 가능하다.,그냥 소금보다 감칠 맛이 있어 간을 맞추고 맛을 내는데 유용하다.,건조한 곳에서 상온보관한다.,
293,맛술,,0~5℃,,생선,,,침전물이 없으며 맑고 상한 냄새가 나지 않는 것을 구입해야한다.,바로 사용 가능하다.,재료에 잡냄새가 나면 맛술로 잡아준다.,뚜껑을 닫고 서늘 한 곳에 보관한다.,
294,꽈리고추,6~10월,1~5℃,20Kcal,닭고기,,"식욕증진, 항산화효과, 피부미용","꼭지가 마르거나 칙칙하지 않고 싱싱하며 몸통은 연녹색을 띠고, 쭈굴쭈굴하며 굴곡이 있는 것을 구입한다.",꼭지만 제거하고 흐르는 물에 씻어 사용한다.,물기를 제거하고 조림 찜 등으로 통으로 활용한다.,물기를 제거하고 밀봉하여 냉장보관한다.,
296,청양고추,6~11월,0~5℃,27Kcal,우유,,"다이어트, 피부미용, 스트레스해소",윤이 나고 적당히 크며 색이 진한 것이 좋다.,꼭지를 제거하고 흐르는 물에 씻어 물기를 제거하고 사용한다.,"국, 탕, 찌개, 찜 등 매운맛이 필요한 요리에 사용한다.","손질하지 않은 것은 밀봉하여 냉장보관, 손질하거나 다진 것은 냉동보관한다.",
299,매실주,연중제철,1~5℃,156Kcal,,,"비로회복, 입맛회복, 식욕촉진, 살균, 해독작용, 변비해소, 식중독예방",유통기한을 확인하고 구입한다.,바로 사용가능하다.,"주로 그냥 마시지만 조림이나 볶음, 무침 등에 사용해 음식의 맛을 돋구게 한다.",직사광선을 피해 서늘하고 그늘진 곳에 보관한다.,
300,닭다리살,연중제철,1~5℃,126Kcal,"두부,배추",,"면역력 증가, 피로회복, 암예방","색은 붉고, 살은 두툼하고 윤이 나며 단단한 것이 좋다.","불순물은 물로 제거하고 바로 사용가능하지만, 잡내를 없애기 위해선 우유에 담가 놓는 것이 좋고, 간을 맞추기 위해선 사용하기 몇 시간 전 소금으로 문지른 후 간이 베이도록 한 후 사용하는 것이 좋다.","구이, 조림, 튀김으로 주로 사용한다.","장기보관은 냉동보관이지만, 단기보관은 냉장보관하고 빨리 섭취한다.",
301,닭발,연중제철,0~5℃,215Kcal,생강,,"골다공증예방, 피부미용, 성인병예방, 면역력강화",분홍색을 띠며 잡내가 나지 않는 것이 좋다.,"흐르는 물에 이물질을 제거하고, 우유에 담가 잡내를 제거 한 후 사용가능하다.",주로 양념으로 볶아먹는다.,"단기는 냉장, 장기는 냉동보관한다.",
302,닭가슴살,연중제철,0~5℃,102Kcal,채소,,"다이어트, 간질환예방",분홍빛이 나는 것이 좋으며 두껍고 윤이 흐르는 것이 좋다.,술이나 생강즙에 30분간 재어두면 잡냄새가 사라진다.,"삶아서 바로 먹거나, 채소와 함께 샐러드로 먹기도 하며, 튀김,볶음, 찜으로도 사용한다. 오래 가열하면 살이 퍽퍽해지므로 오래 가열하지 않는다.","단기엔 냉장, 장기엔 냉동으로 보관한다.",
303,닭안심,연중제철,0~5℃,102Kcal,,,다이어트,분홍빛이 돌며 표면이 끈적한 액체가 없고 윤기가 나는 것이 좋다.,흐르는 물에 살살 씻어 이물질을 제거한다.,"육회, 육개장, 튀김, 샐러드 등으로 사용한다. 닭가슴살과 마찬가지로 오래 가열하지 않는다.","단기간 냉장, 장기간 냉동 보관한다.",
304,닭날개살,연중제철,0~5℃,218Kcal,,,피부미용,껍질이 흐물거리지 않고 윤이 흐르는 것이 좋다.,흐르는 물에 씻어 이물질을 제거하고 날개를 자를 땐 관절 부분에 칼집을 넣어 가른다.,"튀김, 조림으로 많이 사용한다.","단기 보관시 냉장, 장기 보관기 냉동 보관한다.",
305,당면,연중제철,10~15℃,349Kcal,채소,,소화용이,유통기한과 포장상태를 확인하고 구입한다.,"삶기 전 찬물에 담가두고, 삶을 때 식용유를 넣으면 빠르게 불지 않는다.","주로 채소와 함께 볶아 잡채로 사용하고, 국, 탕, 반찬 등에 자주 사용한다.",잘 밀봉하여 건냉한 곳에 보관한다.,
307,맥주,연중제철,1~5℃,43Kcal,"치즈,샐러드",,"긴장완화, 소화촉진, 심장질환개선, 골다공증예방","맥주의 종류를 잘 알아보고, 포장 용기와 유통기한을 알아 본 수 구입한다.",바로 사용가능하다.,주로 술로 안주와 함께 음용한다.,직사광선을 피하고 서늘한 곳에 보관하거나 냉장보관한다.,
310,대하,9~12월,-20~0℃,82Kcal,"양배추,두부",,"피부미용, 간기능개선, 콜레스테롤저하",광이 나고 만졌을때 단단하며 투명한 것이 좋다.,대하의 머리를 분리하고 이쑤시개로 내장을 빼준다.,"손질을 마친 후 회로 먹기도 하며, 찜으로, 튀김으로, 소금에 구워 먹기도 한다.",용기에 담아 냉동 보관한다.,
311,대합,겨울,,74Kcal,"닭고기, 토마토",,빈혈예방,"껍질에 광택이 나고, 무게감이 있는 것이 좋다.",소금물에 해감을 하고 속살의 이물질을 제거한다. 흙이 나오지 않을 때 까지 깨끗하게 씻는다.,"육수가 우러나오도록 껍질과 함께 탕으로 먹거나, 속 살만 가지고 볶음으로도 먹는다.",물기를 제거한 후 밀폐하여 냉동 보관한다.,
313,머위대,3~4,1~5℃,62Kcal,들깨,,"식욕촉진, 골다공증예방, 천식예방, 다래끼예방, 식중독예방",줄기가 억세지 않지만 단단한 것이 좋다.,줄기의 껍질을 벗기고 삶아 사용한다.,데쳐서 무쳐먹거나 탕으로 먹는다.,"손질한 머위대는 냉동보관하고, 손질하지 않은 머위대는 팩에 봉하여 냉장보관한다.",
315,도루묵,11~12월,1~5℃,113Kcal,채소,,"다이어트, 성인병예방, 두뇌발달","냄새가 나지 않고, 만졌을 때 탱탱하고 단단한 것이 좋다.",흐르는 물에 깨끗이 씻어 배쪽을 갈라 내장을 제거하고 사용한다.,"채소와 함께 찌개를 끓여 먹거나 소금 구이, 조림으로 먹는다.","빨리 섭취하며,물기를 제거하고 랩을 감아 냉장 보관한다.",
316,멍게,5월,,78Kcal,초고추장,,"노화방지, 당뇨병예방, 콜레스테롤저하, 다이어트, 변비해소",색이 빨갛고 단단하며 향이 좋다. 쉽게 변질 되기 때문에 소량으로 구입한다.,"멍게의 끝을 자르고 몸통에 칼집을 내 알맹이를 빼내거나, 반을 잘라 알맹이를 빼낸다. 알맹이 중간 에 있는 배설물을 제거하고 섭취한다.","초고추장과 함께 회로 먹거나 젓갈을 담가 먹기도 한다. 밥으로도 지어 먹고 구이, 조림, 덮밥, 전, 찜으로도 활용한다.",냉장보관하며 먹을 만큼만 구입한다.,
322,메이플시럽,연중제철,10~15℃,260Kcal,팬케이크,,,유통기한을 확인하고 구입한다.,바로 사용한다.,디저트나 음료에 단맛을 첨가할 때 사용한다.,밀봉하여 직사광선을 피하고 상온에 보관한다.,
323,멸치,3~11월,-20~0℃,303Kcal,풋고추,,"골다공증예방, 다이어트, 성장촉진, 성장발달, 태아건강","등은 검고 배는 은색이며 비늘에 상처가 없고, 냄새가 구수한 것이 좋다.",머리와 내장을 제거하고 사용한다.,생것은 회로 먹거나 멸치젓갈을 담가 먹기도 한다.,밀봉하여 냉동보관한다.,
325,돼지고기항정살,연중제철,0~5℃,264Kcal,,,,살이 탄탄하고 옅은 선홍색을 띠는 것이 좋다.,씻어서 바로 사용 가능하다.,소금구이로 많이 먹는다.,"단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
326,명란,"12월,1월",1~5℃,126Kcal,마요네즈,,다이어트,지나치게 붉지 않고 알주머니가 찢어지지 않은 것을 구입한다.,터지지 않은 것으로 소금물에 세척하여 물기를 닦은 후 사용한다.,주로 젓갈로 먹는다.,밀폐하여 냉장 보관하며 빨리 섭취한다.,
327,두부,연중제철,0~5℃,88Kcal,"돼지고기,부추,파",,"다이어트, 콜레스테롤저하, 심혈관질환예방, 뇌질환예방",유통기한을 확인하고 구매한다.,바로 사용가능하다.,"국,탕,찌개,조림, 찜 등 다양하게 활용 할 수 있다.",밀폐용기에 담고 소금을 약간 넣은 뒤 물을 채우고 냉장보관한다.,
328,두유,연중제철,1~5℃,70Kcal,,,"동맥경화예방, 성인병예방, 다이어트, 노화방지, 두뇌발달, 성장발달",유통기한을 확인하고 구입한다.,바로 사용가능하다.,"일반적으로는 그냥 섭취하지만, 커피종류로도 활용할 수 있다.",밀봉하여 냉장보관한다.,
329,호박,3~10,0~5℃,91Kcal,닭고기,,"감기예방, 암예방","꼭지가노랗게 말랐으며 세로로 홈이 있는 것이 좋고, 묵직한 것이 좋다.",겉을 깨끗이 씻고 반을 갈라 씨르 빼 내고 사용한다.,"쪄서 바로 먹기도 하고, 단호박 속에 밥이나 여러가지 재료를 채워 먹기도 하며, 죽, 스프 등 다양하게 활용할 수 있다.",직사광선이 닿지 않고 건냉한 곳에서 보관하거나 냉장보관한다.,
331,들기름,연중제철,10~15℃,921Kcal,,,"두뇌발달, 치매예방, 심장질환예방",침전물과 유통기한을 확인하고 구매한다.,바로 사용 가능하다.,무침으로 많이 사용한다.,직사광선은 피하고 밀봉하여 서늘한 곳에서 보관한다.,
332,단호박,1~6월,5~10℃,70Kcal,,,"감기예방, 눈건강",무겁고 색이 짙으며 단단한 것이 좋다,표면은 베이킹소다나 굵은 소금으로 씻어주고 꼭지를 자르거나 반을 갈라 씨를 파낸 후 사용하기도 한다.,"쪄서 바로 먹기도 하고, 단호박 속에 밥이나 여러가지 재료를 채워 먹기도 하며, 죽, 스프 등 다양하게 활용할 수 있다.",직사광선이 닿지 않고 건냉한 곳에서 보관하거나 냉장보관한다.,
333,닭똥집,연중제철,0~5℃,92Kcal,우유,,"피부미용, 다이어트","선홍빛을 띠는 것이 좋고, 노란색은 좋지 않다.",안쪽의 껍질을 벗기고 물에 담가 핏물을 뺀 후 우유에 냄새를 제거하여 사용한다.,데친 후 양념장에 볶아 사용한다.,"단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
334,멥쌀,연중제철,0~5℃,363Kcal,,,위건강,윤이 흐르고 색이 밝고 냄새가 나지 않는 것이 좋다.,흐르는 물에 세척하여 이물질을 제거 한 후 사용가능하다.,"일반적인 밥을 지을 때 사용하고, 죽 리조또 등으로도 사용한다.",직사광선을 피해 서늘하고 통풍이 잘 되는 곳에 보관한다.,
335,도토리묵,연중제철,0~5℃,43Kcal,,,"중금속해독, 다이어트, 성인병예방",유통기한을 확인하고 구매한다.,"구매한 묵은 끓는 물에 데쳐 사용하거나, 도토리가루를 활용해 만들어 사용할 수 있다.","비빔밥,무침,등으로 다양하게 사용한다.",밀폐하여 보관한다.,
337,멸치액젓,연중제철,0~5℃,62Kcal,,,,유통기한을 확인하고 구매하거나 멸치에 소금을 뿌려 숙성시켜 만들어 사용한다.,바로 사용한다.,"국이나 찌개, 탕 등 간이나 감칠맛을 더할 때 사용한다.",밀봉하여 냉장보관한다.,
